symbol,acciones
PSA,176244000
PHM,225596992
QRVO,99889200
PWR,144000992
QCOM,1115000064
DGX,111323000
RL,65979400
RJF,215352000
RTX,1464950016
O,660521024
REG,171308992
REGN,109326000
RF,934446016
RSG,316039008
RMD,146908992
RHI,107698000
ROK,114782000
ROL,492280000
ROP,106052000
ROST,344371008
RCL,255351008
SPGI,329200000
CRM,1000000000
SBAC,107997000
SLB,1427600000
STX,206484000
SEE,143962000
SRE,314332992
NOW,203000000
SHW,258442000
SBNY,62928800
SPG,374241984
SWKS,158974000
SJM,106639000
SNA,53114500
SEDG,56146600
SO,1088909952
LUV,594286976
SWK,153024000
SBUX,1149299968
STT,344479008
STLD,175571008
STE,99284400
SYK,378831008
SIVB,59171900
SYF,437035008
SNPS,152302000
SYY,507604000
TMUS,1219379968
TROW,224399008
TTWO,168675008
TPR,236076000
TRGP,226639008
TGT,460310016
TEL,316456992
TDY,46871100
TFX,46944200
TER,156048000
TSLA,3164100096
TXN,906206016
TXT,205216992
TMO,385430016
TJX,1155500032
TSCO,110073000
TT,229075008
TDG,54598100
TRV,232094000
TRMB,246952000
TFC,1326829952
TYL,41819300
TSN,355625984
USB,1531000064
UDR,549417024
ULTA,50880800
UNP,611873024
UAL,327092992
UPS,858740992
URI,69359600
UNH,934348992
UHS,71409296
VLO,371151008
VTR,399993984
VRSN,104879000
VRSK,156388000
VZ,4199879936
VRTX,257091008
VFC,388656992
VTRS,1231879936
VICI,1003670016
V,2101789952
VMC,132907000
WAB,180352000
WBA,862504000
WMT,2696800000
WBD,2428000000
WM,408152000
WAT,59407600
WEC,315435008
WFC,3793870080
WELL,490644000
WST,74135600
WDC,319328000
WRK,254652000
WY,732347008
WHR,54502500
WMB,1218000000
WTW,106756000
GWW,50199300
WYNN,113314000
XEL,549846976
XYL,180256000
YUM,280000000
ZBRA,51404700
ZBH,210064000
ZION,148648992
ZTS,463387008
